228227 CHEM30250|结构化学
228229 CHEM30270|食品与药品分析
228235 CHEM30281|实验设计与数据处理
228237 CHEM30291|现代化学化工进展
228239 CHEM30298|专业英语
228242 CHEM31282|化学化工计算机应用技术
228244 CHEM32110|仪器分析实验
228246 CHEM40211|电化学测量
228247 CHEM42200|应用化学专业综合实验
228248 CHEM44200|生产实习
228249 CHEM45200|专业实践
228252 CHEN30261|材料化学导论
228254 CHEN30401|化工原理（Ⅰ-1）
228255 CHEN30402|化工原理（Ⅰ-2）
228256 CHEN30404|化工热力学
228257 CHEN30405|化学反应工程
228259 CHEN30407|化工设备机械基础
228260 CHEN30411|化工分离工程
228261 CHEN30413|生物化学（Ⅱ）
228263 CHEN30415|化工制图
228265 CHEN30422|化工过程分析与合成
228270 CHEN30432|精化产品工艺学
228272 CHEN30434|精细有机合成
228275 CHEN30482|现代化工进展
228280 CHEN32471|化工原理实验（Ⅰ）
228282 CHEN32474|化工综合实验
228283 CHEN34475|认识实习/仿真实习
228284 CHEN40435|功能高分子材料
228286 CHEN44476|生产实习
228290 CHPE30520|药物合成反应
228294 CHPE32530|制药工程专业实验（3）
228295 CHPE32540|制药工程专业实验（4）
228296 CHPE34510|认识实习/仿真实习
228298 CHPE42510|制药工程专业综合实验
228299 CHPE44510|生产实习
000495 CMRE10001|新生研讨课
038001 CMRE10100|管理学基础
038201 CMRE20100|组织行为学与人力资源管理
038202 CMRE20200|经济学
038203 CMRE20210|运筹学
038002 CMRE20300|经济法
038205 CMRE20400|工程经济学
038207 CMRE31500|建筑CAD技术基础
358202 COOP24001|Co-op项目培训1
358203 COOP24002|Co-op项目培训2
358204 COOP34001|Co-op项目培训3
359643 COOP40001|工程实习教育
358205 COOP44001|Co-op项目培训4
178201 CSE10010|新生研讨课
178202 CSE20010|数据结构
170000 CSE24950|企业实习（I）
178208 CSE30210|现代自动化仪器仪表概论
000149 CSE30250|现代自动化仪器仪表概论
178212 CSE31001|自动控制原理(Ⅰ-1)
178214 CSE31005|自动控制原理(Ⅱ)
178215 CSE31010|电力电子技术
178216 CSE31011|传感器与自动检测技术
178217 CSE31012|电机学及拖动基础
178218 CSE31013|计算机通讯与网络
000148 CSE31051|自动控制原理(Ⅰ-1)
000151 CSE31053|传感器与自动检测技术
178224 CSE31210|嵌入式技术及应用
000460 CSE31252|ARM嵌入式技术及工程实践
178226 CSE34910|电子安装实习
178228 CSE35010|自动控制原理课程设计
178230 CSE40010|先进控制理论
178231 CSE40011|智能控制基础
178232 CSE40110|机器人与控制
178233 CSE40111|自适应控制导论
178234 CSE40112|最优控制
178235 CSE40113|普适计算与普适控制
178236 CSE40114|系统辨识
178237 CSE40210|电源技术
178238 CSE40211|误差理论与数据处理
178239 CSE40212|无线传感器网络
178240 CSE40310|伺服控制系统
178241 CSE40311|集成自动化系统
178242 CSE40312|组态控制技术及应用
178243 CSE40313|工厂供电
178244 CSE41310|智能电器与工厂电气控制技术
178245 CSE41311|可编程控制器原理及系统
178246 CSE41312|分布式计算机控制系统
000182 CSE41351|可编程控制器原理及系统
178247 CSE42910|计算机应用综合项目训练 （I）
178248 CSE42911|计算机应用综合项目训练 （II）
178249 CSE45010|过程控制系统课程设计
178250 CSE45011|运动控制系统课程设计
178251 CSE45012|计算机控制技术课程设计
178252 CSE45910|电子综合设计及制作实践
188001 CST10101|离散数学
188201 CST11001|大学计算机基础
188003 CST11003|C程序设计
188004 CST11004|C++程序设计
000496 CST11011|程序设计技术（基于C）
188203 CST11102|新生研讨课
188007 CST11103|程序设计基础
000511 CST11104|计算机导论
188204 CST20401|信息安全数学基础
188205 CST21001|计算机信息管理基础
188206 CST21101|面向对象程序设计
188207 CST21102|汇编语言基础
188209 CST21104|数据结构
188217 CST30103|信息安全基础
000401 CST30104|机器学习基础
188218 CST30301|信号处理与数据通信
188219 CST30401|信息论基础
178254 CST31001|计算机硬件技术基础Ⅰ
178255 CST31003|计算机硬件技术基础Ⅱ
188221 CST31102|计算机网络
188228 CST31109|数字图像处理技术
188229 CST31110|编译原理
000373 CST31115|操作系统
000397 CST31116|计算机组成原理
188230 CST31201|软件架构
188231 CST31202|程序实践
189547 CST31202|程序实践
189548 CST31203|游戏开发导论
188237 CST31405|信息隐藏技术
000399 CST31406|计算机病毒原理
188238 CST31501|传感器原理及应用
188242 CST33101|硬件综合设计
188244 CST40501|物联网控制理论与技术
188245 CST40502|物联网系统规划与设计
188246 CST41101|先进数据处理技术
188247 CST41201|多媒体技术
188249 CST41301|网络管理
188250 CST41302|网络规划与设计
189545 CST42212|毕业实习(一)
188253 CST43201|专业综合设计
188255 CST43401|专业综合设计
188256 CST43501|专业综合设计
000497 DAN10360|艺术概论
058245 DAN10990|新生研讨课
058246 DAN11111|中国古典舞基训（1）
058247 DAN11121|中国民族民间舞（1）
058248 DAN11131|技能技巧（1）
058249 DAN20060|中国舞蹈史
058250 DAN20351|传统组合(1)
058252 DAN21113|中国古典舞基训（3）
058254 DAN21123|中国民族民间舞（3）
058256 DAN21133|技能技巧（3）
058257 DAN21142|舞蹈剧目（2）
058259 DAN30060|中国民间舞蹈文化
058261 DAN30350|舞蹈教育学
058262 DAN30353|传统组合（3）
058263 DAN31115|中国古典舞基训（5）
058265 DAN31125|中国民族民间舞（5）
058267 DAN31144|舞蹈剧目（4）
058270 DAN40060|经典舞蹈剧目赏析
058271 DAN41081|现代舞
058272 DAN41082|体育舞蹈
058273 DAN41083|流行舞蹈
058274 DAN41272|舞蹈编创（技法）（2）
058276 DAN45073|毕业创作
058278 EAD20510|环艺小品设计
058279 EAD20520|场地设计
058287 EAD21510|设计初步
058288 EAD21511|景观雕塑
058289 EAD21530|计算机辅助设计
058294 EAD25520|模型制作
058297 EAD30510|别墅设计
058298 EAD30520|植物景观设计
058299 EAD30530|城市公园设计
058300 EAD30540|景观构造及材料
058301 EAD30550|传统艺术与现代设计
058317 EAD40510|居住小区规划设计
058318 EAD40520|城市滨水景观设计
058319 EAD40530|乡土博物馆景观建筑设计
059653 EAD40710|室内设计有关法规标准
058320 EAD41720|民俗博物馆室内设计
058321 EAD44510|设计实习
058323 EAD44710|生产实习
058326 EAD45710|OA办公室内设计
058327 EAD45730|施工图编绘
018202 ECO10101|政治经济学
018001 ECO10103|微观经济学
018003 ECO10107|管理学
018203 ECO20101|宏观经济学
018204 ECO20103|财政学
018205 ECO20105|市场营销学
018207 ECO20109|货币银行学
018208 ECO20111|专业英语
018211 ECO21101|会计学
018212 ECO21103|统计学
018214 ECO30101|国际贸易
018215 ECO30103|国际金融
018216 ECO30105|财务会计
018217 ECO30107|保险经济学
018218 ECO30109|制度经济学
018219 ECO30111|中级微观经济学
018225 ECO30139|国际贸易实务
018228 ECO30307|公共经济学
018229 ECO30309|福利经济学
018238 ECO30501|国际结算
018241 ECO30507|国际商务
018242 ECO30511|国际经济学
018243 ECO30513|战略管理
018247 ECO30523|商务谈判
018249 ECO31101|计量经济学
018253 ECO35101|学年论文
018254 ECO40301|劳动经济学
000498 ECON10000|新生研讨课
028001 ECON10104|微观经济学
028203 ECON20101|宏观经济学
028204 ECON20106|能源概论
028206 ECON20301|金融学概论
028209 ECON24101|专业实习
028210 ECON30102|能源经济学
028211 ECON30104|计量经济学
028212 ECON30106|能源技术经济学
028213 ECON30108|资产评估
028219 ECON30301|投资学
028220 ECON30304|保险学
028221 ECON30307|保险精算
028223 ECON30313|商业伦理与职业道德
028227 ECON40101|国际政治经济与能源战略
028228 ECON40102|项目管理
028229 ECON40106|电力市场
028230 ECON40109|专业前沿讲座
028231 ECON40301|金融衍生工具
028232 ECON40304|投资银行实务
028234 ECON41101|能源经济数量模型
028235 ECON44101|企业能源管理实习
028237 ECON44391|专业实习
049981 EDS20301|主题英语阅读
049980 EDS20401|英语学术论文写作
049977 EDS20501|商务英语翻译
049978 EDS20502|科技翻译
049983 EDS20504|信息技术翻译
000280 EDS20505|西方建筑文化与翻译
049973 EDS20701|跨文化交际
049974 EDS20702|跨文化商务沟通
